model,project,ablation,num_bugs_found,num_attempts,found_bugs,attempts
llama4_scout_17b,Lang,full,5,20,"{'Lang_47', 'Lang_7', 'Lang_57', 'Lang_35', 'Lang_33'}","{'Lang_7', 'Lang_31', 'Lang_61', 'Lang_51', 'Lang_26', 'Lang_37', 'Lang_35', 'Lang_11', 'Lang_41', 'Lang_20', 'Lang_57', 'Lang_50', 'Lang_60', 'Lang_47', 'Lang_38', 'Lang_33', 'Lang_12', 'Lang_17', 'Lang_21', 'Lang_30'}"
llama4_scout_17b,Jsoup,full,6,10,"{'Jsoup_57', 'Jsoup_58', 'Jsoup_92', 'Jsoup_29', 'Jsoup_87', 'Jsoup_74'}","{'Jsoup_57', 'Jsoup_32', 'Jsoup_91', 'Jsoup_92', 'Jsoup_93', 'Jsoup_87', 'Jsoup_29', 'Jsoup_58', 'Jsoup_74', 'Jsoup_61'}"
llama4_scout_17b,Chart,full,3,6,"{'Chart_18', 'Chart_11', 'Chart_15'}","{'Chart_18', 'Chart_2', 'Chart_16', 'Chart_15', 'Chart_11', 'Chart_9'}"
llama4_scout_17b,Gson,full,3,4,"{'Gson_14', 'Gson_15', 'Gson_9'}","{'Gson_14', 'Gson_15', 'Gson_12', 'Gson_9'}"
llama4_scout_17b,Closure,full,2,5,"{'Closure_149', 'Closure_131'}","{'Closure_144', 'Closure_131', 'Closure_149', 'Closure_102', 'Closure_49'}"
llama4_scout_17b,Codec,full,2,8,"{'Codec_13', 'Codec_12'}","{'Codec_18', 'Codec_12', 'Codec_9', 'Codec_2', 'Codec_13', 'Codec_6', 'Codec_5', 'Codec_7'}"
llama4_scout_17b,all,full,39,108,"{'Lang_7', 'JacksonDatabind_71', 'Codec_13', 'Closure_131', 'Closure_149', 'Math_46', 'Lang_35', 'Chart_15', 'Cli_3', 'Chart_11', 'Jsoup_58', 'Jsoup_74', 'Lang_57', 'Jsoup_57', 'Codec_12', 'Time_8', 'Compress_34', 'Math_77', 'JacksonDatabind_73', 'Math_22', 'Jsoup_87', 'Lang_47', 'Gson_9', 'JacksonDatabind_103', 'JacksonCore_23', 'Chart_18', 'Gson_14', 'Jsoup_92', 'JacksonDatabind_2', 'Math_47', 'Jsoup_29', 'Lang_33', 'Math_37', 'Time_2', 'Cli_27', 'Gson_15', 'Math_3', 'Math_60', 'JacksonDatabind_49'}","{'Lang_31', 'Lang_26', 'Codec_13', 'Math_46', 'JacksonCore_10', 'Lang_41', 'JxPath_9', 'Cli_3', 'Cli_15', 'Jsoup_58', 'Lang_20', 'Codec_18', 'Time_5', 'Lang_57', 'Jsoup_57', 'JacksonDatabind_111', 'Codec_6', 'Time_6', 'Compress_42', 'Compress_34', 'JacksonDatabind_73', 'JacksonDatabind_79', 'Math_22', 'Math_99', 'JacksonDatabind_55', 'Lang_60', 'Lang_47', 'Codec_7', 'JxPath_7', 'Codec_9', 'JacksonDatabind_103', 'Chart_18', 'Chart_2', 'Gson_14', 'Jsoup_92', 'Chart_16', 'Gson_12', 'Jsoup_29', 'Jsoup_61', 'Math_37', 'Time_2', 'Math_15', 'Jsoup_32', 'Gson_15', 'JacksonDatabind_41', 'Lang_17', 'JacksonDatabind_49', 'Cli_35', 'Lang_21', 'Lang_30', 'Math_27', 'Time_15', 'Lang_7', 'Lang_61', 'Lang_51', 'Csv_4', 'JacksonDatabind_71', 'Codec_2', 'Lang_37', 'Closure_131', 'Jsoup_93', 'Closure_149', 'Lang_35', 'Lang_11', 'Chart_15', 'Closure_49', 'Math_53', 'Jsoup_91', 'Jsoup_74', 'Chart_11', 'Math_8', 'Time_14', 'JxPath_16', 'Codec_12', 'JacksonDatabind_34', 'Lang_50', 'Cli_13', 'Math_90', 'Csv_16', 'Time_8', 'Math_77', 'Closure_102', 'Jsoup_87', 'Math_2', 'JxPath_18', 'Math_29', 'Gson_9', 'JacksonCore_23', 'Lang_38', 'Cli_21', 'JacksonDatabind_2', 'Codec_5', 'Math_47', 'Math_59', 'Lang_33', 'Chart_9', 'Lang_12', 'Math_63', 'JacksonDatabind_95', 'Cli_27', 'JacksonDatabind_84', 'Closure_144', 'Math_3', 'Math_17', 'Math_60', 'JacksonDatabind_20', 'Math_91', 'JacksonDatabind_57'}"
deepseek_r1_1.5b,JxPath,full,0,0,set(),set()
deepseek_r1_1.5b,Cli,full,0,0,set(),set()
deepseek_r1_1.5b,Math,full,0,0,set(),set()
deepseek_r1_1.5b,Csv,full,0,0,set(),set()
deepseek_r1_1.5b,Compress,full,0,0,set(),set()
deepseek_r1_1.5b,JacksonDatabind,full,0,0,set(),set()
deepseek_r1_1.5b,Time,full,0,0,set(),set()
deepseek_r1_1.5b,Collections,full,0,0,set(),set()
deepseek_r1_1.5b,JacksonXml,full,0,0,set(),set()
deepseek_r1_1.5b,JacksonCore,full,0,0,set(),set()
deepseek_r1_1.5b,Lang,full,0,0,set(),set()
deepseek_r1_1.5b,Jsoup,full,0,0,set(),set()
deepseek_r1_1.5b,Chart,full,0,0,set(),set()
deepseek_r1_1.5b,Gson,full,0,0,set(),set()
deepseek_r1_1.5b,Closure,full,0,0,set(),set()
deepseek_r1_1.5b,Codec,full,0,0,set(),set()
deepseek_r1_1.5b,all,full,0,0,set(),set()
