model,project,ablation,total_covered_lines,total_missed_lines,total_covered_branches,total_missed_branches,total_line_coverage,total_branch_coverage,total_lines,total_branches,compilable_covered_lines,compilable_missed_lines,compilable_covered_branches,compilable_missed_branches,compilable_line_coverage,compilable_branch_coverage,error_reasons
gemma3_4b,Lang,full,508,-1,336,-1,0.34002677376171353,0.26291079812206575,1494,1278,508,-1,336,-1,0.48427073403241183,0.3775280898876405,"{'success': 83, 'cannot compile': 38, 'parameter tuple not found': 12, 'unknown: method appendTo not found in org/apache/commons/lang3/time/org/apache/commons/la': 1}"
gemma3_4b,Jsoup,full,88,-1,72,-1,0.35918367346938773,0.391304347826087,245,184,88,-1,72,-1,0.8301886792452831,0.72,"{'cannot compile': 18, 'success': 12, 'parameter tuple not found': 6, 'unknown: method add not found in org/jsoup/select/org/jsoup/select/CombiningEvaluator/Or': 1, 'unknown: method tail not found in org/jsoup/safety/org/jsoup/safety/Cleaner/CleaningVisit': 1, 'unknown: method onContentsChanged not found in org/jsoup/nodes/org/jsoup/nodes/Element/No': 1, 'unknown: method toString not found in org/jsoup/select/org/jsoup/select/Evaluator/Matches': 1, 'unknown: method toString not found in org/jsoup/select/org/jsoup/select/Evaluator/MatchTe': 1, 'unknown: method head not found in org/jsoup/helper/org/jsoup/helper/W3CDom/W3CBuilder': 1}"
gemma3_4b,Chart,full,20,-1,8,-1,0.05089058524173028,0.026845637583892617,393,298,20,-1,8,-1,0.15873015873015872,0.07547169811320754,"{'cannot compile': 16, 'failed in empty test class': 13, 'success': 11}"
gemma3_4b,Gson,full,8,-1,0,-1,0.028985507246376812,0.0,276,115,8,-1,0,-1,0.11428571428571428,0.0,"{'cannot compile': 15, 'success': 5, 'parameter tuple not found': 4}"
gemma3_4b,Closure,full,31,-1,17,-1,0.05419580419580419,0.04197530864197531,572,405,31,-1,17,-1,0.34831460674157305,0.3148148148148148,"{'cannot compile': 28, 'parameter tuple not found': 8, 'unknown: method visit not found in com/google/javascript/jscomp/com/google/javascript/jsc': 7, 'unknown: compile_hang_skipped': 7, 'success': 5, 'unknown: method onRedeclaration not found in com/google/javascript/jscomp/com/google/java': 3, 'unknown: method remove not found in com/google/javascript/jscomp/com/google/javascript/js': 3, 'unknown: method addDeclaredName not found in com/google/javascript/jscomp/com/google/java': 2, 'unknown: method getTypeWithProperty not found in com/google/javascript/jscomp/com/google/': 1, 'unknown: method collect not found in com/google/javascript/jscomp/com/google/javascript/j': 1, 'unknown: method addNode not found in com/google/javascript/jscomp/com/google/javascript/j': 1, 'unknown: method hashCode not found in com/google/javascript/jscomp/com/google/javascript/': 1, 'unknown: method addValue not found in com/google/javascript/jscomp/com/google/javascript/': 1, 'unknown: method applyAlias not found in com/google/javascript/jscomp/com/google/javascrip': 1, 'unknown: method caseObjectType not found in com/google/javascript/jscomp/type/com/google/': 1, 'unknown: method parseArguments not found in com/google/javascript/jscomp/com/google/javas': 1, 'unknown: method apply not found in com/google/javascript/jscomp/com/google/javascript/jsc': 1}"
gemma3_4b,Codec,full,151,-1,28,-1,0.3586698337292161,0.0945945945945946,421,296,151,-1,28,-1,0.515358361774744,0.16091954022988506,"{'success': 12, 'cannot compile': 11, 'parameter tuple not found': 1, 'unknown: method toString not found in org/apache/commons/codec/language/bm/org/apache/com': 1}"
gemma3_4b,all,full,1275,-1,654,-1,0.15178571428571427,0.11612215909090909,8400,5632,1255,-1,650,-1,0.4648148148148148,0.3439153439153439,"{'cannot compile': 365, 'success': 235, 'parameter tuple not found': 93, 'failed in empty test class': 13, 'unknown: method visit not found in com/google/javascript/jscomp/com/google/javascript/jsc': 7, 'unknown: compile_hang_skipped': 7, 'unknown: method serialize not found in com/fasterxml/jackson/databind/ser/std/com/fasterx': 6, 'unknown: method onRedeclaration not found in com/google/javascript/jscomp/com/google/java': 3, 'unknown: method remove not found in com/google/javascript/jscomp/com/google/javascript/js': 3, 'unknown: method useForType not found in com/fasterxml/jackson/databind/com/fasterxml/jack': 2, 'unknown: method deserialize not found in com/fasterxml/jackson/databind/deser/std/com/fas': 2, 'unknown: method build not found in com/fasterxml/jackson/databind/deser/impl/com/fasterxm': 2, 'unknown: method printTo not found in org/joda/time/format/org/joda/time/format/PeriodForm': 2, 'unknown: method add not found in org/joda/time/chrono/org/joda/time/chrono/GJChronology/I': 2, 'unknown: method addDeclaredName not found in com/google/javascript/jscomp/com/google/java': 2, 'unknown: method remove not found in org/apache/commons/jxpath/ri/compiler/org/apache/comm': 1, 'unknown: method isFeasible not found in org/apache/commons/math3/optimization/direct/org/': 1, 'unknown: method repairAndDecode not found in org/apache/commons/math3/optimization/direct': 1, 'unknown: method remove not found in org/apache/commons/csv/org/apache/commons/csv/CSVPars': 1, 'unknown: method DumpArchiveInputStream not found in org/apache/commons/compress/archivers': 1, 'unknown: method createContextual not found in com/fasterxml/jackson/databind/ser/std/com/': 1, 'unknown: method isEmpty not found in com/fasterxml/jackson/databind/ser/std/com/fasterxml': 1, 'unknown: method getEmptyValue not found in com/fasterxml/jackson/databind/deser/std/com/f': 1, 'unknown: method handleResolvedForwardReference not found in com/fasterxml/jackson/databin': 1, 'unknown: method toString not found in com/fasterxml/jackson/databind/type/com/fasterxml/j': 1, 'unknown: method writeCustomTypeSuffixForArray not found in com/fasterxml/jackson/databind': 1, 'unknown: method getDescription not found in com/fasterxml/jackson/databind/com/fasterxml/': 1, 'unknown: method deserializeKey not found in com/fasterxml/jackson/databind/deser/std/com/': 1, 'unknown: method parseInto not found in org/joda/time/format/org/joda/time/format/DateTime': 1, 'unknown: method roundCeiling not found in org/joda/time/chrono/org/joda/time/chrono/Zoned': 1, 'unknown: method clear not found in org/apache/commons/collections4/trie/org/apache/common': 1, 'unknown: method appendTo not found in org/apache/commons/lang3/time/org/apache/commons/la': 1, 'unknown: method add not found in org/jsoup/select/org/jsoup/select/CombiningEvaluator/Or': 1, 'unknown: method tail not found in org/jsoup/safety/org/jsoup/safety/Cleaner/CleaningVisit': 1, 'unknown: method onContentsChanged not found in org/jsoup/nodes/org/jsoup/nodes/Element/No': 1, 'unknown: method toString not found in org/jsoup/select/org/jsoup/select/Evaluator/Matches': 1, 'unknown: method toString not found in org/jsoup/select/org/jsoup/select/Evaluator/MatchTe': 1, 'unknown: method head not found in org/jsoup/helper/org/jsoup/helper/W3CDom/W3CBuilder': 1, 'unknown: method getTypeWithProperty not found in com/google/javascript/jscomp/com/google/': 1, 'unknown: method collect not found in com/google/javascript/jscomp/com/google/javascript/j': 1, 'unknown: method addNode not found in com/google/javascript/jscomp/com/google/javascript/j': 1, 'unknown: method hashCode not found in com/google/javascript/jscomp/com/google/javascript/': 1, 'unknown: method addValue not found in com/google/javascript/jscomp/com/google/javascript/': 1, 'unknown: method applyAlias not found in com/google/javascript/jscomp/com/google/javascrip': 1, 'unknown: method caseObjectType not found in com/google/javascript/jscomp/type/com/google/': 1, 'unknown: method parseArguments not found in com/google/javascript/jscomp/com/google/javas': 1, 'unknown: method apply not found in com/google/javascript/jscomp/com/google/javascript/jsc': 1, 'unknown: method toString not found in org/apache/commons/codec/language/bm/org/apache/com': 1}"
mistral_7b,JxPath,full,17,-1,6,-1,0.4594594594594595,0.3333333333333333,37,18,17,-1,6,-1,0.68,0.42857142857142855,"{'parameter tuple not found': 17, 'success': 7, 'cannot compile': 3, 'unknown: method remove not found in org/apache/commons/jxpath/ri/compiler/org/apache/comm': 1}"
mistral_7b,Cli,full,0,-1,0,-1,0.0,0.0,25,8,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 11, 'cannot compile': 5}"
mistral_7b,Math,full,2,-1,0,-1,0.007518796992481203,0.0,266,138,2,-1,0,-1,0.1,0.0,"{'parameter tuple not found': 103, 'cannot compile': 20, 'success': 4, 'unknown: method isFeasible not found in org/apache/commons/math3/optimization/direct/org/': 1, 'unknown: method repairAndDecode not found in org/apache/commons/math3/optimization/direct': 1}"
mistral_7b,Csv,full,0,-1,0,-1,0.0,0.0,28,22,0,-1,0,-1,0.0,0.0,"{'cannot compile': 4, 'success': 2, 'parameter tuple not found': 2, 'unknown: method remove not found in org/apache/commons/csv/org/apache/commons/csv/CSVPars': 1}"
mistral_7b,Compress,full,9,-1,7,-1,0.038461538461538464,0.059322033898305086,234,118,9,-1,7,-1,0.47368421052631576,0.5,"{'parameter tuple not found': 28, 'cannot compile': 12, 'success': 4, 'unknown: method DumpArchiveInputStream not found in org/apache/commons/compress/archivers': 1}"
mistral_7b,JacksonDatabind,full,0,-1,0,-1,0.0,0.0,46,26,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 93, 'cannot compile': 10, 'unknown: method serialize not found in com/fasterxml/jackson/databind/ser/std/com/fasterx': 6, 'unknown: method useForType not found in com/fasterxml/jackson/databind/com/fasterxml/jack': 2, 'unknown: method deserialize not found in com/fasterxml/jackson/databind/deser/std/com/fas': 2, 'unknown: method build not found in com/fasterxml/jackson/databind/deser/impl/com/fasterxm': 2, 'unknown: method createContextual not found in com/fasterxml/jackson/databind/ser/std/com/': 1, 'success': 1, 'unknown: method isEmpty not found in com/fasterxml/jackson/databind/ser/std/com/fasterxml': 1, 'unknown: method getEmptyValue not found in com/fasterxml/jackson/databind/deser/std/com/f': 1, 'unknown: method handleResolvedForwardReference not found in com/fasterxml/jackson/databin': 1, 'unknown: method toString not found in com/fasterxml/jackson/databind/type/com/fasterxml/j': 1, 'unknown: method writeCustomTypeSuffixForArray not found in com/fasterxml/jackson/databind': 1, 'unknown: method getDescription not found in com/fasterxml/jackson/databind/com/fasterxml/': 1, 'unknown: method deserializeKey not found in com/fasterxml/jackson/databind/deser/std/com/': 1}"
mistral_7b,Time,full,1,-1,0,-1,0.04,0.0,25,0,1,-1,0,-1,0.25,0.0,"{'parameter tuple not found': 25, 'cannot compile': 7, 'success': 4, 'unknown: method printTo not found in org/joda/time/format/org/joda/time/format/PeriodForm': 2, 'unknown: method add not found in org/joda/time/chrono/org/joda/time/chrono/GJChronology/I': 2, 'unknown: method parseInto not found in org/joda/time/format/org/joda/time/format/DateTime': 1, 'unknown: method roundCeiling not found in org/joda/time/chrono/org/joda/time/chrono/Zoned': 1}"
mistral_7b,Collections,full,0,-1,0,-1,0.0,0.0,0,0,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 3, 'unknown: method clear not found in org/apache/commons/collections4/trie/org/apache/common': 1}"
mistral_7b,JacksonXml,full,0,-1,0,-1,0.0,0.0,148,71,0,-1,0,-1,0.0,0.0,{'cannot compile': 3}
mistral_7b,JacksonCore,full,18,-1,15,-1,0.05232558139534884,0.05319148936170213,344,282,18,-1,15,-1,0.13636363636363635,0.13274336283185842,"{'parameter tuple not found': 22, 'cannot compile': 14, 'success': 4}"
mistral_7b,Lang,full,12,-1,0,-1,0.4,0.0,30,12,12,-1,0,-1,0.6666666666666666,0.0,"{'parameter tuple not found': 126, 'success': 5, 'cannot compile': 2, 'unknown: method appendTo not found in org/apache/commons/lang3/time/org/apache/commons/la': 1}"
mistral_7b,Jsoup,full,3,-1,0,-1,0.025423728813559324,0.0,118,68,3,-1,0,-1,0.42857142857142855,0.0,"{'parameter tuple not found': 16, 'cannot compile': 15, 'success': 5, 'unknown: method add not found in org/jsoup/select/org/jsoup/select/CombiningEvaluator/Or': 1, 'unknown: method tail not found in org/jsoup/safety/org/jsoup/safety/Cleaner/CleaningVisit': 1, 'unknown: method onContentsChanged not found in org/jsoup/nodes/org/jsoup/nodes/Element/No': 1, 'unknown: method toString not found in org/jsoup/select/org/jsoup/select/Evaluator/Matches': 1, 'unknown: method toString not found in org/jsoup/select/org/jsoup/select/Evaluator/MatchTe': 1, 'unknown: method head not found in org/jsoup/helper/org/jsoup/helper/W3CDom/W3CBuilder': 1}"
mistral_7b,Chart,full,0,-1,0,-1,0.0,0.0,23,18,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 25, 'failed in empty test class': 13, 'cannot compile': 2}"
mistral_7b,Gson,full,0,-1,0,-1,0.0,0.0,38,20,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 21, 'cannot compile': 3}"
mistral_7b,Closure,full,0,-1,0,-1,0.0,0.0,35,12,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 32, 'cannot compile': 9, 'unknown: method visit not found in com/google/javascript/jscomp/com/google/javascript/jsc': 7, 'unknown: compile_hang_skipped': 7, 'unknown: method onRedeclaration not found in com/google/javascript/jscomp/com/google/java': 3, 'unknown: method remove not found in com/google/javascript/jscomp/com/google/javascript/js': 3, 'unknown: method addDeclaredName not found in com/google/javascript/jscomp/com/google/java': 2, 'unknown: method getTypeWithProperty not found in com/google/javascript/jscomp/com/google/': 1, 'unknown: method collect not found in com/google/javascript/jscomp/com/google/javascript/j': 1, 'unknown: method addNode not found in com/google/javascript/jscomp/com/google/javascript/j': 1, 'unknown: method hashCode not found in com/google/javascript/jscomp/com/google/javascript/': 1, 'unknown: method addValue not found in com/google/javascript/jscomp/com/google/javascript/': 1, 'unknown: method applyAlias not found in com/google/javascript/jscomp/com/google/javascrip': 1, 'unknown: method caseObjectType not found in com/google/javascript/jscomp/type/com/google/': 1, 'unknown: method parseArguments not found in com/google/javascript/jscomp/com/google/javas': 1, 'unknown: method apply not found in com/google/javascript/jscomp/com/google/javascript/jsc': 1}"
mistral_7b,Codec,full,0,-1,0,-1,0.0,0.0,39,30,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 17, 'cannot compile': 7, 'unknown: method toString not found in org/apache/commons/codec/language/bm/org/apache/com': 1}"
mistral_7b,all,full,62,-1,28,-1,0.04317548746518106,0.033214709371293,1436,843,62,-1,28,-1,0.256198347107438,0.16766467065868262,"{'parameter tuple not found': 541, 'cannot compile': 116, 'success': 36, 'failed in empty test class': 13, 'unknown: method visit not found in com/google/javascript/jscomp/com/google/javascript/jsc': 7, 'unknown: compile_hang_skipped': 7, 'unknown: method serialize not found in com/fasterxml/jackson/databind/ser/std/com/fasterx': 6, 'unknown: method onRedeclaration not found in com/google/javascript/jscomp/com/google/java': 3, 'unknown: method remove not found in com/google/javascript/jscomp/com/google/javascript/js': 3, 'unknown: method useForType not found in com/fasterxml/jackson/databind/com/fasterxml/jack': 2, 'unknown: method deserialize not found in com/fasterxml/jackson/databind/deser/std/com/fas': 2, 'unknown: method build not found in com/fasterxml/jackson/databind/deser/impl/com/fasterxm': 2, 'unknown: method printTo not found in org/joda/time/format/org/joda/time/format/PeriodForm': 2, 'unknown: method add not found in org/joda/time/chrono/org/joda/time/chrono/GJChronology/I': 2, 'unknown: method addDeclaredName not found in com/google/javascript/jscomp/com/google/java': 2, 'unknown: method remove not found in org/apache/commons/jxpath/ri/compiler/org/apache/comm': 1, 'unknown: method isFeasible not found in org/apache/commons/math3/optimization/direct/org/': 1, 'unknown: method repairAndDecode not found in org/apache/commons/math3/optimization/direct': 1, 'unknown: method remove not found in org/apache/commons/csv/org/apache/commons/csv/CSVPars': 1, 'unknown: method DumpArchiveInputStream not found in org/apache/commons/compress/archivers': 1, 'unknown: method createContextual not found in com/fasterxml/jackson/databind/ser/std/com/': 1, 'unknown: method isEmpty not found in com/fasterxml/jackson/databind/ser/std/com/fasterxml': 1, 'unknown: method getEmptyValue not found in com/fasterxml/jackson/databind/deser/std/com/f': 1, 'unknown: method handleResolvedForwardReference not found in com/fasterxml/jackson/databin': 1, 'unknown: method toString not found in com/fasterxml/jackson/databind/type/com/fasterxml/j': 1, 'unknown: method writeCustomTypeSuffixForArray not found in com/fasterxml/jackson/databind': 1, 'unknown: method getDescription not found in com/fasterxml/jackson/databind/com/fasterxml/': 1, 'unknown: method deserializeKey not found in com/fasterxml/jackson/databind/deser/std/com/': 1, 'unknown: method parseInto not found in org/joda/time/format/org/joda/time/format/DateTime': 1, 'unknown: method roundCeiling not found in org/joda/time/chrono/org/joda/time/chrono/Zoned': 1, 'unknown: method clear not found in org/apache/commons/collections4/trie/org/apache/common': 1, 'unknown: method appendTo not found in org/apache/commons/lang3/time/org/apache/commons/la': 1, 'unknown: method add not found in org/jsoup/select/org/jsoup/select/CombiningEvaluator/Or': 1, 'unknown: method tail not found in org/jsoup/safety/org/jsoup/safety/Cleaner/CleaningVisit': 1, 'unknown: method onContentsChanged not found in org/jsoup/nodes/org/jsoup/nodes/Element/No': 1, 'unknown: method toString not found in org/jsoup/select/org/jsoup/select/Evaluator/Matches': 1, 'unknown: method toString not found in org/jsoup/select/org/jsoup/select/Evaluator/MatchTe': 1, 'unknown: method head not found in org/jsoup/helper/org/jsoup/helper/W3CDom/W3CBuilder': 1, 'unknown: method getTypeWithProperty not found in com/google/javascript/jscomp/com/google/': 1, 'unknown: method collect not found in com/google/javascript/jscomp/com/google/javascript/j': 1, 'unknown: method addNode not found in com/google/javascript/jscomp/com/google/javascript/j': 1, 'unknown: method hashCode not found in com/google/javascript/jscomp/com/google/javascript/': 1, 'unknown: method addValue not found in com/google/javascript/jscomp/com/google/javascript/': 1, 'unknown: method applyAlias not found in com/google/javascript/jscomp/com/google/javascrip': 1, 'unknown: method caseObjectType not found in com/google/javascript/jscomp/type/com/google/': 1, 'unknown: method parseArguments not found in com/google/javascript/jscomp/com/google/javas': 1, 'unknown: method apply not found in com/google/javascript/jscomp/com/google/javascript/jsc': 1, 'unknown: method toString not found in org/apache/commons/codec/language/bm/org/apache/com': 1}"
deepseek_r1_8b,JxPath,full,13,-1,4,-1,0.35135135135135137,0.2222222222222222,37,18,13,-1,4,-1,0.5416666666666666,0.2857142857142857,"{'parameter tuple not found': 17, 'success': 6, 'cannot compile': 4, 'unknown: method remove not found in org/apache/commons/jxpath/ri/compiler/org/apache/comm': 1}"
deepseek_r1_8b,Cli,full,6,-1,1,-1,0.24,0.125,25,8,6,-1,1,-1,0.5454545454545454,0.5,"{'parameter tuple not found': 11, 'success': 3, 'cannot compile': 2}"
deepseek_r1_8b,Math,full,48,-1,29,-1,0.23300970873786409,0.27358490566037735,206,106,48,-1,29,-1,0.6075949367088608,0.5576923076923077,"{'parameter tuple not found': 106, 'cannot compile': 14, 'success': 7, 'unknown: method isFeasible not found in org/apache/commons/math3/optimization/direct/org/': 1, 'unknown: method repairAndDecode not found in org/apache/commons/math3/optimization/direct': 1}"
deepseek_r1_8b,Csv,full,0,-1,0,-1,0.0,0.0,17,14,0,-1,0,-1,0.0,0.0,"{'cannot compile': 5, 'parameter tuple not found': 3, 'unknown: method remove not found in org/apache/commons/csv/org/apache/commons/csv/CSVPars': 1}"
deepseek_r1_8b,Compress,full,4,-1,1,-1,0.017094017094017096,0.00847457627118644,234,118,4,-1,1,-1,0.23529411764705882,0.1,"{'parameter tuple not found': 28, 'cannot compile': 12, 'success': 4, 'unknown: method DumpArchiveInputStream not found in org/apache/commons/compress/archivers': 1}"
deepseek_r1_8b,JacksonDatabind,full,0,-1,0,-1,0.0,0.0,46,26,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 93, 'cannot compile': 8, 'unknown: method serialize not found in com/fasterxml/jackson/databind/ser/std/com/fasterx': 6, 'success': 3, 'unknown: method useForType not found in com/fasterxml/jackson/databind/com/fasterxml/jack': 2, 'unknown: method deserialize not found in com/fasterxml/jackson/databind/deser/std/com/fas': 2, 'unknown: method build not found in com/fasterxml/jackson/databind/deser/impl/com/fasterxm': 2, 'unknown: method createContextual not found in com/fasterxml/jackson/databind/ser/std/com/': 1, 'unknown: method isEmpty not found in com/fasterxml/jackson/databind/ser/std/com/fasterxml': 1, 'unknown: method getEmptyValue not found in com/fasterxml/jackson/databind/deser/std/com/f': 1, 'unknown: method handleResolvedForwardReference not found in com/fasterxml/jackson/databin': 1, 'unknown: method toString not found in com/fasterxml/jackson/databind/type/com/fasterxml/j': 1, 'unknown: method writeCustomTypeSuffixForArray not found in com/fasterxml/jackson/databind': 1, 'unknown: method getDescription not found in com/fasterxml/jackson/databind/com/fasterxml/': 1, 'unknown: method deserializeKey not found in com/fasterxml/jackson/databind/deser/std/com/': 1}"
deepseek_r1_8b,Time,full,2,-1,0,-1,0.15384615384615385,0.0,13,0,2,-1,0,-1,0.6666666666666666,0.0,"{'parameter tuple not found': 25, 'cannot compile': 8, 'success': 3, 'unknown: method printTo not found in org/joda/time/format/org/joda/time/format/PeriodForm': 2, 'unknown: method add not found in org/joda/time/chrono/org/joda/time/chrono/GJChronology/I': 2, 'unknown: method parseInto not found in org/joda/time/format/org/joda/time/format/DateTime': 1, 'unknown: method roundCeiling not found in org/joda/time/chrono/org/joda/time/chrono/Zoned': 1}"
deepseek_r1_8b,Collections,full,0,-1,0,-1,0.0,0.0,0,0,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 3, 'unknown: method clear not found in org/apache/commons/collections4/trie/org/apache/common': 1}"
deepseek_r1_8b,JacksonXml,full,0,-1,0,-1,0.0,0.0,148,71,0,-1,0,-1,0.0,0.0,{'cannot compile': 3}
deepseek_r1_8b,JacksonCore,full,11,-1,8,-1,0.03197674418604651,0.028368794326241134,344,282,11,-1,8,-1,0.6111111111111112,0.5,"{'parameter tuple not found': 22, 'cannot compile': 15, 'success': 3}"
deepseek_r1_8b,Lang,full,0,-1,0,-1,0.0,0.0,34,12,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 129, 'cannot compile': 3, 'success': 1, 'unknown: method appendTo not found in org/apache/commons/lang3/time/org/apache/commons/la': 1}"
deepseek_r1_8b,Jsoup,full,18,-1,2,-1,0.13846153846153847,0.02564102564102564,130,78,18,-1,2,-1,0.782608695652174,1.0,"{'parameter tuple not found': 16, 'cannot compile': 13, 'success': 7, 'unknown: method add not found in org/jsoup/select/org/jsoup/select/CombiningEvaluator/Or': 1, 'unknown: method tail not found in org/jsoup/safety/org/jsoup/safety/Cleaner/CleaningVisit': 1, 'unknown: method onContentsChanged not found in org/jsoup/nodes/org/jsoup/nodes/Element/No': 1, 'unknown: method toString not found in org/jsoup/select/org/jsoup/select/Evaluator/Matches': 1, 'unknown: method toString not found in org/jsoup/select/org/jsoup/select/Evaluator/MatchTe': 1, 'unknown: method head not found in org/jsoup/helper/org/jsoup/helper/W3CDom/W3CBuilder': 1}"
deepseek_r1_8b,Chart,full,0,-1,0,-1,0.0,0.0,23,18,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 25, 'failed in empty test class': 13, 'cannot compile': 2}"
deepseek_r1_8b,Gson,full,0,-1,0,-1,0.0,0.0,37,20,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 22, 'cannot compile': 2}"
deepseek_r1_8b,Closure,full,0,-1,0,-1,0.0,0.0,14,4,0,-1,0,-1,0.0,0.0,"{'parameter tuple not found': 32, 'cannot compile': 9, 'unknown: method visit not found in com/google/javascript/jscomp/com/google/javascript/jsc': 7, 'unknown: compile_hang_skipped': 7, 'unknown: method onRedeclaration not found in com/google/javascript/jscomp/com/google/java': 3, 'unknown: method remove not found in com/google/javascript/jscomp/com/google/javascript/js': 3, 'unknown: method addDeclaredName not found in com/google/javascript/jscomp/com/google/java': 2, 'unknown: method getTypeWithProperty not found in com/google/javascript/jscomp/com/google/': 1, 'unknown: method collect not found in com/google/javascript/jscomp/com/google/javascript/j': 1, 'unknown: method addNode not found in com/google/javascript/jscomp/com/google/javascript/j': 1, 'unknown: method hashCode not found in com/google/javascript/jscomp/com/google/javascript/': 1, 'unknown: method addValue not found in com/google/javascript/jscomp/com/google/javascript/': 1, 'unknown: method applyAlias not found in com/google/javascript/jscomp/com/google/javascrip': 1, 'unknown: method caseObjectType not found in com/google/javascript/jscomp/type/com/google/': 1, 'unknown: method parseArguments not found in com/google/javascript/jscomp/com/google/javas': 1, 'unknown: method apply not found in com/google/javascript/jscomp/com/google/javascript/jsc': 1}"
